NCT Number,PMID,Date,Journal,Title,Publication Type,Abstract,Parsed Date,Label,Matched Keywords,Match Source
NCT01145209,33653216,2021 Aug,Leukemia & lymphoma,"Risk-adapted, ofatumumab-based chemoimmunotherapy and consolidation in treatment-naive chronic lymphocytic leukemia: a phase 2 study.","Clinical Trial, Phase II; Journal Article; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't","High-risk cytogenetics and minimal residual disease (MRD) after chemoimmunotherapy (CIT) predict unfavorable outcome in chronic lymphocytic leukemia (CLL). This phase 2 study investigated risk-adapted CIT in treatment-naive CLL (NCT01145209). Patients with high-risk cytogenetics received induction with fludarabine, cyclophosphamide, and ofatumumab. Those without high-risk cytogenetics received fludarabine and ofatumumab. After induction, MRD positive (MRD+) patients received 4 doses of ofatumumab consolidation. MRD negative (MRD-) patients had no intervention. Of 28 evaluable for response, all responded to induction and 10 (36%) achieved MRD-. Two-year progression-free survival (PFS) was 71.4% (CI(95), 56.5-90.3%). There was no significant difference in median PFS between the high-risk and the standard-risk groups. Ofatumumab consolidation didn't convert MRD + to MRD-. In the MRD + group, we saw selective loss of CD20 antigens during therapy. In conclusion, risk-adapted CIT is feasible in treatment-naive CLL. Ofatumumab consolidation didn't improve depth of response in MRD + patients. Loss of targetable CD20 likely reduces efficacy of consolidation therapy.",2021-08-01,Primary,Earliest eligible publication,System
NCT02592707,37721581,2023 Dec,European journal of nuclear medicine and molecular imaging,A phase I/II study of the safety and efficacy of [(177)Lu]Lu-satoreotide tetraxetan in advanced somatostatin receptor-positive neuroendocrine tumours.,"Clinical Trial, Phase I; Clinical Trial, Phase II; Journal Article","PURPOSE: We present the results of an open-label, phase I/II study evaluating the safety and efficacy of the novel somatostatin receptor (SSTR) antagonist [(177)Lu]Lu-satoreotide tetraxetan in 40 patients with previously treated, progressive neuroendocrine tumours (NETs), in which dosimetry was used to guide maximum administered activity. METHODS: This study was conducted in two parts. Part A consisted of 15 patients who completed three cycles of [(177)Lu]Lu-satoreotide tetraxetan at a fixed administered activity and peptide amount per cycle (4.5 GBq/300 microg). Part B, which included 25 patients who received one to five cycles of [(177)Lu]Lu-satoreotide tetraxetan, evaluated different administered activities (4.5 or 6.0 GBq/cycle) and peptide amounts (300, 700, or 1300 mug/cycle), limited to a cumulative absorbed radiation dose of 23 Gy to the kidneys and 1.5 Gy to the bone marrow. RESULTS: Median cumulative administered activity of [(177)Lu]Lu-satoreotide tetraxetan was 13.0 GBq over three cycles (13.1 GBq in part A and 12.9 GBq in part B). Overall, 17 (42.5%) patients experienced grade >/= 3 treatment‑related adverse events; the most common were lymphopenia, thrombocytopenia, and neutropenia. No grade 3/4 nephrotoxicity was observed. Two patients developed myeloid neoplasms considered treatment related by the investigator. Disease control rate for part A and part B was 94.7% (95% confidence interval [CI]: 82.3-99.4), and overall response rate was 21.1% (95% CI: 9.6-37.3). CONCLUSION: [(177)Lu]Lu-satoreotide tetraxetan, administered at a median cumulative activity of 13.0 GBq over three cycles, has an acceptable safety profile with a promising clinical response in patients with progressive, SSTR-positive NETs. A 5-year long-term follow-up study is ongoing. TRIAL REGISTRATION: ClinicalTrials.gov, NCT02592707. Registered October 30, 2015.",2023-12-01,Primary,Earliest eligible publication,System
NCT02592707,38528164,2024 Jul,European journal of nuclear medicine and molecular imaging,Dosimetry and pharmacokinetics of [(177)Lu]Lu-satoreotide tetraxetan in patients with progressive neuroendocrine tumours.,"Clinical Trial, Phase I; Clinical Trial, Phase II; Journal Article","PURPOSE: To evaluate the dosimetry and pharmacokinetics of the novel radiolabelled somatostatin receptor antagonist [(177)Lu]Lu-satoreotide tetraxetan in patients with advanced neuroendocrine tumours (NETs). METHODS: This study was part of a phase I/II trial of [(177)Lu]Lu-satoreotide tetraxetan, administered at a median cumulative activity of 13.0 GBq over three planned cycles (median activity/cycle: 4.5 GBq), in 40 patients with progressive NETs. Organ absorbed doses were monitored at each cycle using patient-specific dosimetry; the cumulative absorbed-dose limits were set at 23.0 Gy for the kidneys and 1.5 Gy for bone marrow. Absorbed dose coefficients (ADCs) were calculated using both patient-specific and model-based dosimetry for some patients. RESULTS: In all evaluated organs, maximum [(177)Lu]Lu-satoreotide tetraxetan uptake was observed at the first imaging timepoint (4 h after injection), followed by an exponential decrease. Kidneys were the main route of elimination, with a cumulative excretion of 57-66% within 48 h following the first treatment cycle. At the first treatment cycle, [(177)Lu]Lu-satoreotide tetraxetan showed a median terminal blood half-life of 127 h and median ADCs of [(177)Lu]Lu-satoreotide tetraxetan were 5.0 Gy/GBq in tumours, 0.1 Gy/GBq in the bone marrow, 0.9 Gy/GBq in kidneys, 0.2 Gy/GBq in the liver and 0.8 Gy/GBq in the spleen. Using image-based dosimetry, the bone marrow and kidneys received median cumulative absorbed doses of 1.1 and 10.8 Gy, respectively, after three cycles. CONCLUSION: [(177)Lu]Lu-satoreotide tetraxetan showed a favourable dosimetry profile, with high and prolonged tumour uptake, supporting its acceptable safety profile and promising efficacy. TRIAL REGISTRATION: NCT02592707. Registered October 30, 2015.",2024-07-01,Pharmacokinetics/pharmacodynamics,Pharmacokinetics,Title
NCT02789800,28487349,2017 May 9,CMAJ open,Patient-Centred Innovations for Persons with Multimorbidity: funded evaluation protocol.,Journal Article,"BACKGROUND: The high prevalence of multimorbidity necessitates rethinking of the health care system. The overarching goal of the Patient-Centred Innovations for Persons with Multimorbidity program is to build on existing structures and find and evaluate patient-centred innovations relevant to multimorbidity. METHODS: We describe the protocol for a proposed multijurisdictional (Quebec and Ontario) concurrent triangulation mixed-methods study. In both provinces, a qualitative descriptive study will be used to explore innovations in patient-centred multimorbidity care. Two randomized controlled trials, 1 in either province, will evaluate the innovations in a wait-list-controlled design using patient-reported outcomes. An additional control group, matched on age, sex, enrolment/index date (+/- 3 mo) and propensity score, will be created with the use of health administrative data. Patients will be 18-80 years of age and will have 3 or more chronic conditions. The innovations will have elements of relevance to multimorbidity care, patient-centred partnerships and integration of care. The primary outcome measures will be 2 patient-reported outcomes: patient education and self-efficacy. Secondary outcomes will include patient-reported health status, quality of life, psychological distress and health behaviours, and costs of care. INTERPRETATION: This protocol describes a mixed-method study in 2 jurisdictions. The studies will answer the questions of what innovations work and how they work for patients, health care professionals and policy-makers. Trial registration: ClinicalTrials.gov, no NCT02789800 (Quebec Trial), NCT02742597 (Ontario Trial).",2017-05-09,Primary,Earliest eligible publication,System
NCT02789800,34561255,2021 Sep 24,BMJ open,Evaluating the implementation of interdisciplinary patient-centred care intervention for people with multimorbidity in primary care: a qualitative study.,"Journal Article; Research Support, Non-U.S. Gov't","OBJECTIVE: A patient-centred care interdisciplinary pragmatic intervention to support self-management for patients with multimorbidity was implemented in one region of Quebec, Canada. This embedded study aimed to evaluate the process of implementation. DESIGN: A descriptive qualitative study was conducted in 2016-2017 using semistructured individual interviews. The Consolidated Framework for Implementation Research (CFIR) was used to guide the data coding, analysis and reporting of the findings. SETTING: The study took place in seven Family Medicine Groups in one region (Saguenay-Lac-Saint-Jean) of Quebec, Canada. PARTICIPANTS: Ten managers (including two family physicians) and 19 healthcare professionals (HCPs), nurses, kinesiologists, nutritionists and a respiratory therapist, were interviewed. RESULTS: Many key elements within the five CFIR domains were identified as impacting the implementation of the intervention : (1) intervention characteristics-evidence strength and quality, design quality and packaging, relative advantage and complexity; (2) outer setting-patients' needs and resources, external policies and incentives; (3) inner setting-structural characteristics, networks and communication, culture, compatibility, readiness for implementation and leadership engagement; (4) characteristics of the managers and HCPs-knowledge and belief about the intervention; (5) process-planning, opinion leaders, formally appointed internal implementation leaders, reflecting and evaluating. CONCLUSION: This study revealed the organisational and contextual aspects of the implementation based on different and complementary perspectives. With the growing demand for interdisciplinary teams in primary care, we believe that our insights will be helpful for practices, researchers, and policymakers interested in the implementation of disease prevention and management programmes for people with multiple chronic conditions in primary care. TRIAL REGISTRATION NUMBER: NCT02789800.",2021-09-24,Subgroup,based on,Abstract
