Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated,Trial start date,Trial completion date
NCT01790633,"HIV; Hepatitis B; Hepatitis C; Carcinoma, Hepatocellular; AIDS; Hepatitis B; Hepatitis C; Carcinoma, Hepatocellular; Acquired Immunodeficiency Syndrome",Standard Testing With ELISA,0.0,0.0,,2016-12-13,2013-02,2013-10
NCT01949545,Solid Tumors; Hematologic Malignancies; Hepatic Impairment; Hematologic Neoplasms,Mild Hepatic Impairment,17.0,3.0,0.0,2017-05-02,2013-10,2015-09
NCT01949545,Solid Tumors; Hematologic Malignancies; Hepatic Impairment; Hematologic Neoplasms,Moderate Hepatic Impairment,14.0,4.0,3.0,2017-05-02,2013-10,2015-09
NCT01949545,Solid Tumors; Hematologic Malignancies; Hepatic Impairment; Hematologic Neoplasms,Normal Hepatic Function,10.0,0.0,1.0,2017-05-02,2013-10,2015-09
NCT01949545,Solid Tumors; Hematologic Malignancies; Hepatic Impairment; Hematologic Neoplasms,Severe Hepatic Impairment,4.0,0.0,0.0,2017-05-02,2013-10,2015-09
NCT02795429,Advanced Hepatocellular Carcinoma; Liver Neoplasms,Phase Ib: Capmatinib 200 mg BID + Spartalizumab 300 mg Q3W,,,2.0,2023-07-03,2016-06-15,2021-06-24
NCT02795429,Advanced Hepatocellular Carcinoma; Liver Neoplasms,Phase Ib: Capmatinib 300 mg BID + Spartalizumab 300 mg Q3W,,,1.0,2023-07-03,2016-06-15,2021-06-24
NCT02795429,Advanced Hepatocellular Carcinoma; Liver Neoplasms,Phase Ib: Capmatinib 400 mg BID + Spartalizumab 300 mg Q3W,,,4.0,2023-07-03,2016-06-15,2021-06-24
NCT03113955,Localized Hepatocellular Carcinoma,Single -Arm,,301.0,,2021-12-01,2017-10-24,2020-02-28
NCT00365508,"Bladder Cancer; Cervical Cancer; Esophageal Cancer; Gastric Cancer; Head and Neck Cancer; Kidney Cancer; Leukemia; Liver Cancer; Lung Cancer; Pancreatic Cancer; Tobacco Use Disorder; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Esophageal Neoplasms; Stomach Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Leukemia; Liver Neoplasms; Lung Neoplasms; Pancreatic Neoplasms; Tobacco Use Disorder; Carcinoma, Renal Cell; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Hypopharyngeal Neoplasms; Laryngeal Neoplasms; Mouth Neoplasms; Nasopharyngeal Neoplasms; Oropharyngeal Neoplasms; Leukemia, Myeloid, Acute; Tongue Neoplasms",Arm I,1.2461059190031152,1.2461059190031152,,2016-03-29,2006-02,2009-08
