Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated,Trial start date,Trial completion date
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Group 1 - Recurrent or Refractory Hepatoblastoma,70.0,70.0,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Group 2 - Recurrent or Refractory Synovial Sarcoma,70.0,30.0,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Group 3 - Recurrent or Refractory Rhabdomyosarcoma,70.0,20.0,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Group 8 - Recurrent Osteosarcoma,55.55555555555556,44.44444444444444,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Group 9 - Recurrent or Refractory Wilms Tumor,100.0,55.55555555555556,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Grp 4-Recurrent or Refractory Adrenocortical Carcinoma,50.0,50.0,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Grp 5-Ewing Sarcoma/Peripheral Primitive Neuroectodermal Tumor,61.53846153846154,38.46153846153847,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Grp 6 - Neuroblastoma-MIBG Positive Without Measurable Disease,45.0,25.0,,2015-03-30,2009-01,2013-10
NCT00831844,"Adult Rhabdomyosarcoma; Adult Synovial Sarcoma; Childhood Hepatoblastoma; Childhood Synovial Sarcoma; Previously Treated Childhood Rhabdomyosarcoma; Recurrent Adrenocortical Carcinoma; Recurrent Adult Soft Tissue Sarcoma; Recurrent Childhood Liver Cancer; Recurrent Childhood Rhabdomyosarcoma; Recurrent Childhood Soft Tissue Sarcoma; Recurrent Ewing Sarcoma/Peripheral Primitive; Neuroectodermal Tumor; Recurrent Neuroblastoma; Recurrent Osteosarcoma; Recurrent Retinoblastoma; Recurrent Wilms Tumor and Other Childhood Kidney Tumors; Rhabdomyosarcoma; Sarcoma, Synovial; Hepatoblastoma; Adrenocortical Carcinoma; Sarcoma; Sarcoma, Ewing; Neuroectodermal Tumors; Neuroblastoma; Osteosarcoma; Retinoblastoma; Wilms Tumor",Grp 7-Neuroblastoma With Measurable Disease,90.0,40.0,,2015-03-30,2009-01,2013-10
NCT01790633,"HIV; Hepatitis B; Hepatitis C; Carcinoma, Hepatocellular; AIDS; Hepatitis B; Hepatitis C; Carcinoma, Hepatocellular; Acquired Immunodeficiency Syndrome",Rapid Testing,0.0,0.0,,2016-12-13,2013-02,2013-10
