Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated
NCT01841632,Liver Transplantation,MultiStem - Cohort 1,100.0,100.0,,2018-08-17
NCT00183885,"Hepatocellular Carcinoma; Liver Cancer; Carcinoma, Hepatocellular; Liver Neoplasms",Cisplatin + Mitomycin-C,98.68421052631578,67.10526315789474,,2025-10-30
NCT02825550,"Cancer of Liver; Liver Neoplasms; Carcinoma, Hepatocellular",Adverse Event,0.0,0.0,,2018-08-07
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,Control,0.0,0.0,,2024-06-04
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,PCOS Medication Naive,0.0,0.0,,2024-06-04
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,PCOS on COCPs,0.0,0.0,,2024-06-04
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,PCOS on Metformin,0.0,0.0,,2024-06-04
NCT02157974,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity; Fatty Liver; Polycystic Ovary Syndrome; Obesity,"PCOS, Medication Naive + Byetta",0.0,0.0,,2024-06-04
NCT02471313,"Liver Cancer; Liver Neoplasm; Hepatocellular Carcinoma; HCC; Liver Neoplasms; Carcinoma, Hepatocellular",[18F] FMISO PET Scan,33.33333333333333,0.0,,2019-04-23
NCT00605722,Liver Cancer; Liver Neoplasms,Bevacizumab + Erlotinib,,19.0,,2014-07-14
NCT03026803,Liver Cancer; Hepatocellular Cancer; Liver Neoplasms,Oxaliplatin and Capecitabine,50.0,25.0,,2017-04-13
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 10 th - Level 6,100.0,25.0,,2020-07-20
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 5 th - Level 1,66.66666666666666,33.33333333333333,,2020-07-20
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 6 th - Level 2,66.66666666666666,33.33333333333333,,2020-07-20
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 7 th - Level 3,100.0,100.0,,2020-07-20
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 8 th - Level 4,100.0,100.0,,2020-07-20
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 9 th - Level 5,66.66666666666666,66.66666666666666,,2020-07-20
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Clinicians,0.0,0.0,,2025-06-24
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",EHR-based Clinician-facing Jumpstart [Family],0.0,0.0,,2025-06-24
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",EHR-based Clinician-facing Jumpstart [Patient],0.0,0.0,,2025-06-24
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Survey-based Bi-directional Jumpstart [Family],0.0,0.0,,2025-06-24
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Survey-based Bi-directional Jumpstart [Patient],0.0,0.0,,2025-06-24
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Usual Care [Family],0.0,0.0,,2025-06-24
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Usual Care [Patient],0.0,0.0,,2025-06-24
NCT02762266,"Child-Pugh Class A; Child-Pugh Class B; Recurrent Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Stereotactic Body Radiation Therapy (SBRT),100.0,16.666666666666664,,2024-03-12
NCT02762266,"Child-Pugh Class A; Child-Pugh Class B; Recurrent Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Transarterial Chemoembolization (TACE),100.0,0.0,,2024-03-12
NCT04945720,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Study Group,100.0,26.666666666666668,,2026-02-25
NCT03029988,Liver Metastases; Colorectal Carcinoma; Colorectal Neoplasms; Adenocarcinoma,Cohort 1,66.66666666666666,0.0,,2020-09-10
NCT00024258,"Brain and Central Nervous System Tumors; Childhood Germ Cell Tumor; Extragonadal Germ Cell Tumor; Kidney Cancer; Liver Cancer; Neuroblastoma; Ovarian Cancer; Retinoblastoma; Sarcoma; Central Nervous System Neoplasms; Kidney Neoplasms; Liver Neoplasms; Neuroblastoma; Ovarian Neoplasms; Retinoblastoma; Sarcoma; Osteosarcoma; Hepatoblastoma; Wilms Tumor; Desmoplastic Small Round Cell Tumor; Medulloblastoma; Neuroectodermal Tumors, Primitive, Peripheral; Teratoma; Testicular Neoplasms; Ovarian Germ Cell Cancer",Arsenic Trioxide,63.63636363636363,54.54545454545454,,2015-11-25
NCT02112656,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Carcinoma; Neoplasms, Glandular and Epithelial; Neoplasms by Histologic Type; Neoplasms; Adenocarcinoma; Liver Neoplasms; Digestive System Neoplasms; Neoplasms by Site; Digestive System Diseases; Liver Diseases",Dummy Infusion,79.12087912087912,12.087912087912088,,2024-08-20
NCT02112656,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Carcinoma; Neoplasms, Glandular and Epithelial; Neoplasms by Histologic Type; Neoplasms; Adenocarcinoma; Liver Neoplasms; Digestive System Neoplasms; Neoplasms by Site; Digestive System Diseases; Liver Diseases",ThermoDox 50 mg/m2,96.71532846715328,26.642335766423358,,2024-08-20
NCT02670122,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Adverse Events,22.137404580152673,6.870229007633588,,2021-03-30
NCT02216773,Liver Resection; Cancer; Neoplasms,Portal Vein Embolization (PVE),54.166666666666664,4.166666666666666,,2019-11-07
NCT02216773,Liver Resection; Cancer; Neoplasms,Radiofrequency Assisted Liver Partition and Ligation (RALPPS),38.46153846153847,15.384615384615385,,2019-11-07
NCT00427973,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Localized Unresectable Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Singe Arm Open Label Study With AZD2171 at 30 mg Daily,100.0,29.411764705882355,,2016-10-31
NCT00410956,"Liver Cancer; Liver Neoplasms; Carcinoma, Hepatocellular",UNRESECTABLE PRIMARY HEPATIC MALIGNANCY,77.27272727272727,54.54545454545454,,2024-12-10
NCT00576199,Liver Cancer; Liver Neoplasms,Bevacizumab 5 mg/kg,56.666666666666664,56.666666666666664,,2014-08-29
NCT00759109,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Arm A - PegIntron,74.32432432432432,48.64864864864865,,2017-04-07
NCT00759109,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular",Arm B - Control,47.368421052631575,39.473684210526315,,2017-04-07
NCT01581307,Liver Cancer; Pancreatic Cancer; Liver Neoplasms; Pancreatic Neoplasms,2nd Line Chemotherapy With Radiotherapy,88.88888888888889,55.55555555555556,,2017-03-03
NCT01551212,Liver Transplantation,Everolimus/Tacrolimus,97.0414201183432,65.68047337278107,,2019-05-10
NCT01551212,Liver Transplantation,Tacrolimus,93.29268292682927,61.58536585365854,,2019-05-10
NCT00534001,"Bladder Cancer; Cervical Cancer; Esophageal Cancer; Gastric Cancer; Head and Neck Cancer; Kidney Cancer; Leukemia; Liver Cancer; Lung Cancer; Pancreatic Cancer; Tobacco Use Disorder; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Esophageal Neoplasms; Stomach Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Leukemia; Liver Neoplasms; Lung Neoplasms; Pancreatic Neoplasms; Tobacco Use Disorder; Carcinoma, Renal Cell; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Hypopharyngeal Neoplasms; Laryngeal Neoplasms; Mouth Neoplasms; Nasopharyngeal Neoplasms; Oropharyngeal Neoplasms; Leukemia, Myeloid, Acute",Arm I (1-week run-in),100.0,0.0,,2017-05-30
NCT00534001,"Bladder Cancer; Cervical Cancer; Esophageal Cancer; Gastric Cancer; Head and Neck Cancer; Kidney Cancer; Leukemia; Liver Cancer; Lung Cancer; Pancreatic Cancer; Tobacco Use Disorder; Urinary Bladder Neoplasms; Uterine Cervical Neoplasms; Esophageal Neoplasms; Stomach Neoplasms; Head and Neck Neoplasms; Kidney Neoplasms; Leukemia; Liver Neoplasms; Lung Neoplasms; Pancreatic Neoplasms; Tobacco Use Disorder; Carcinoma, Renal Cell; Carcinoma, Hepatocellular; Carcinoma, Non-Small-Cell Lung; Small Cell Lung Carcinoma; Hypopharyngeal Neoplasms; Laryngeal Neoplasms; Mouth Neoplasms; Nasopharyngeal Neoplasms; Oropharyngeal Neoplasms; Leukemia, Myeloid, Acute",Arm II (4-week run-in),100.0,0.0,,2017-05-30
NCT04175912,"Metastatic Cholangiocarcinoma; Metastatic Hepatocellular Carcinoma; Stage III Hepatocellular Carcinoma AJCC v8; Stage III Intrahepatic Cholangiocarcinoma AJCC v8; Stage IIIA Hepatocellular Carcinoma AJCC v8; Stage IIIA Intrahepatic Cholangiocarcinoma AJCC v8; Stage IIIB Hepatocellular Carcinoma AJCC v8; Stage IIIB Intrahepatic Cholangiocarcinoma AJCC v8; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IV Intrahepatic Cholangiocarcinoma AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8; Unresectable Cholangiocarcinoma; Unresectable Hepatocellular Carcinoma; Unresectable Intrahepatic Cholangiocarcinoma; Cholangiocarcinoma; Carcinoma, Hepatocellular",Arm A (Pevonedistat),100.0,47.05882352941176,,2025-11-17
NCT04175912,"Metastatic Cholangiocarcinoma; Metastatic Hepatocellular Carcinoma; Stage III Hepatocellular Carcinoma AJCC v8; Stage III Intrahepatic Cholangiocarcinoma AJCC v8; Stage IIIA Hepatocellular Carcinoma AJCC v8; Stage IIIA Intrahepatic Cholangiocarcinoma AJCC v8; Stage IIIB Hepatocellular Carcinoma AJCC v8; Stage IIIB Intrahepatic Cholangiocarcinoma AJCC v8; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IV Intrahepatic Cholangiocarcinoma AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8; Unresectable Cholangiocarcinoma; Unresectable Hepatocellular Carcinoma; Unresectable Intrahepatic Cholangiocarcinoma; Cholangiocarcinoma; Carcinoma, Hepatocellular","Arm B (Pevonedistat, Paclitaxel, Carboplatin)",100.0,70.58823529411765,,2025-11-17
NCT00526331,"Esophageal Diseases; Gastrointestinal Diseases; Disorder of the Genitourinary System; Gynecologic Diseases; Kidney Diseases; Liver Diseases; Pancreatic Diseases; Prostate Cancer; Spinal Disease; Esophageal Diseases; Gastrointestinal Diseases; Urogenital Diseases; Genital Diseases, Female; Kidney Diseases; Liver Diseases; Pancreatic Diseases; Prostatic Neoplasms; Spinal Diseases",Overall Study,0.0,0.0,,2012-01-16
NCT00105443,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular; Liver Neoplasms; Neoplasms",Placebo Arm Double-Blind Phase (Interim Data Only),85.76158940397352,54.3046357615894,,2014-10-31
NCT00105443,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular; Liver Neoplasms; Neoplasms","Placebo Arm, Complete Double-Blind Phase",89.73509933774835,61.258278145695364,,2014-10-31
NCT00105443,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular; Liver Neoplasms; Neoplasms",Sorafenib (Nexavar) Arm Complete (Incl. Open Label Phase),94.61279461279462,64.3097643097643,,2014-10-31
NCT00105443,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular; Liver Neoplasms; Neoplasms",Sorafenib (Nexavar) Arm Double-Blind Phase (Interim Data Only),92.5925925925926,51.515151515151516,,2014-10-31
NCT00105443,"Carcinoma, Hepatocellular; Carcinoma, Hepatocellular; Liver Neoplasms; Neoplasms",Subjects Switching From Placebo to Sorafenib (Open Label Only),91.48936170212765,55.319148936170215,,2014-10-31
NCT03685591,"Breast Neoplasms; Prostate Neoplasms; Neoplasms, Squamous Cell; Melanoma; Mesothelioma; Pancreatic Neoplasms; Colorectal Neoplasms; Carcinoma, Renal Cell; Liver Neoplasms; Breast Neoplasms; Prostatic Neoplasms; Neoplasms, Squamous Cell; Melanoma; Mesothelioma; Pancreatic Neoplasms; Colorectal Neoplasms; Carcinoma, Renal Cell; Liver Neoplasms; Camurati-Engelmann Syndrome; Neoplasm Metastasis; Adenocarcinoma",Part 1A: PF-06952229 150mg Monotherapy,,1.0,,2024-06-26
